"","Cluster1","Cluster2"
"aht1975_americanus",0.9606,0.0394
"aht2456_terrestris",0.08055,0.91945
"aht2564_terrestris",0.001,0.999
"aht2885_terrestris",0.002,0.998
"aht3419_terrestris",0.1378,0.8622
"aht3421_terrestris",0.1243,0.8757
"aht3428_terrestris",6e-04,0.9994
"aht3459_americanus",0.97915,0.02085
"aht3460_americanus",0.999,0.001
"aht3461_americanus",0.99805,0.00195
"aht3462_americanus",0.99905,0.000950000000000001
"aht3463_americanus",0.999,0.001
"aht3833_terrestris",0.001,0.999
"aht3997_terrestris",0.07215,0.92785
"aht4373_americanus",0.96455,0.03545
"aht5277_terrestris",0.00045,0.99955
"aht5278_terrestris",5e-05,0.99995
"hera10233_americanus",0.99925,0.00075
"hera10239_americanus",0.999,0.001
"hera10248_americanus",0.9991,9e-04
"hera10255_americanus",0.9962,0.0038
"hera10350_americanus",0.999,0.001
"hera10372_americanus",0.99915,0.00085
"hera15787_americanus",0.999,0.001
"inhs17016_americanus",0.97095,0.02905
"inhs21799_americanus",0.999,0.001
"kac100_terrestris",0.0331,0.9669
"kac101_americanus",0.99975,0.00025
"kac102_terrestris",0.02675,0.97325
"kac103_terrestris",0.06905,0.93095
"kac104_terrestris",0.12795,0.87205
"kac105_americanus",0.9997,3e-04
"kac106_americanus",0.99975,0.00025
"kac107_americanus",0.99905,0.000950000000000001
"kac108_terrestris",0.08005,0.91995
"kac110_americanus",0.9991,9e-04
"kac111_americanus",0.55155,0.44845
"kac112_terrestris",0.0692,0.9308
"kac116_americanus",0.99585,0.00415
"kac121_terrestris",0.0225,0.9775
"kac123_terrestris",0.03765,0.96235
"kac124_terrestris",0.0368,0.9632
"kac126_terrestris",0.00395,0.99605
"kac133_terrestris",0.0203,0.9797
"kac134_terrestris",0.0184,0.9816
"kac135_terrestris",0.00645,0.99355
"kac136_terrestris",0.0589,0.9411
"kac139_americanus",0.9942,0.0058
"kac140_terrestris",0.001,0.999
"kac143_terrestris",0.00225,0.99775
"kac144_terrestris",0.0071,0.9929
"kac146_terrestris",0.00085,0.99915
"kac147_terrestris",0.0449,0.9551
"kac148_terrestris",0.0011,0.9989
"kac149_terrestris",0.0276,0.9724
"kac150_terrestris",0.00365,0.99635
"kac151_terrestris",0.04435,0.95565
"kac154_terrestris",0.0012,0.9988
"kac155_terrestris",0.04525,0.95475
"kac156_terrestris",0.00325,0.99675
"kac159_terrestris",0.00215,0.99785
"kac16_terrestris",0.00055,0.99945
"kac160_terrestris",0.00105,0.99895
"kac162_terrestris",0.0032,0.9968
"kac163_terrestris",9e-04,0.9991
"kac164_terrestris",0.00175,0.99825
"kac167_terrestris",0.0294,0.9706
"kac172_americanus",0.8947,0.1053
"kac173_americanus",0.86655,0.13345
"kac176_americanus",0.94395,0.05605
"kac181_terrestris",0.0059,0.9941
"kac182_terrestris",0.0023,0.9977
"kac183_terrestris",5e-05,0.99995
"kac184_terrestris",0.001,0.999
"kac185_terrestris",0.001,0.999
"kac188_terrestris",0.0016,0.9984
"kac190_terrestris",0.06795,0.93205
"kac191_terrestris",0.0609,0.9391
"kac192_terrestris",0.0356,0.9644
"kac193_terrestris",0.0161,0.9839
"kac194_terrestris",0.001,0.999
"kac195_terrestris",0.0133,0.9867
"kac196_terrestris",0.0035,0.9965
"kac197_terrestris",0.0035,0.9965
"kac199_terrestris",0.0053,0.9947
"kac200_terrestris",0.0029,0.9971
"kac2018021701_americanus",0.999,0.001
"kac2018021704_americanus",0.99665,0.00335
"kac2018021705_americanus",0.999,0.001
"kac2018021706_americanus",0.9982,0.0018
"kac2018021707_americanus",1,0
"kac201803101_americanus",0.99995,5e-05
"kac201803104_americanus",0.99985,0.00015
"kac201803105_americanus",0.9999,1e-04
"kac201808181_terrestris",7e-04,0.9993
"kac201808183_terrestris",0.00075,0.99925
"kac201808184_terrestris",9e-04,0.9991
"kac206_americanus",0.6092,0.3908
"kac207_americanus",0.60255,0.39745
"kac208_americanus",0.73685,0.26315
"kac210_terrestris",0.31015,0.68985
"kac212_terrestris",0.03375,0.96625
"kac213_terrestris",0.0214,0.9786
"kac217_terrestris",0.0412,0.9588
"kac218_terrestris",0.0015,0.9985
"kac219_terrestris",0.00105,0.99895
"kac220_americanus",0.73,0.27
"kac224_terrestris",0.04735,0.95265
"kac225_terrestris",0.0108,0.9892
"kac230_terrestris",0.00385,0.99615
"kac232_terrestris",0.00765,0.99235
"kac233_terrestris",0.001,0.999
"kac236_terrestris",0.001,0.999
"kac237_terrestris",0.001,0.999
"kac238_terrestris",9e-04,0.9991
"kac239_terrestris",0.001,0.999
"kac242_americanus",0.913,0.087
"kac38_terrestris",0.00725,0.99275
"kac39_terrestris",0.0168,0.9832
"kac40_terrestris",0.0716,0.9284
"kac45_terrestris",0.03985,0.96015
"kac48_terrestris",0.0146,0.9854
"kac49_terrestris",0.0016,0.9984
"kac70_americanus",0.99715,0.00285
"kac74_terrestris",0,1
"kac75_terrestris",0.0615,0.9385
"kac78_americanus",0.99915,0.00085
"kac81_americanus",0.99975,0.00025
"kac82_americanus",1,0
"kac83_americanus",1,0
"kac84_americanus",1,0
"kac86_americanus",0.999,0.001
"kac87_americanus",0.99945,0.00055
"kac89_americanus",1,0
"kac90_americanus",1,0
"kac91_americanus",0.9991,9e-04
"kac92_americanus",0.7873,0.2127
"kac93_americanus",0.99895,0.00105
"kac94_americanus",0.99995,5e-05
"kac95_americanus",0.999,0.001
"kac96_americanus",0.999,0.001
"kac97_americanus",0.9997,3e-04
"kac98_americanus",0.999,0.001
"kac99_americanus",0.999,0.001
"msb104644_americanus",1,0
"t1030_terrestris",0.001,0.999
"t1040_terrestris",0.01315,0.98685
"t2004_americanus",0.9254,0.0746
"t2015_americanus",0.999,0.001
"t2020_americanus",0.97995,0.02005
"t2040_americanus",0.9526,0.0474
"t2043_americanus",0.99705,0.00295
"utep19947_terrestris",0.0309,0.9691
"utep20921_americanus",0.998,0.002
